VIVIENDA	HOGAR	NUMERO_ENCUESTA	SECUENCIA_ENCUESTA	SECUENCIA_PADRE	ORDEN	REL_NUMERO_ENCUESTA	REL_SECUENCIA_ENCUESTA	GSR_GMF_TIPO_MRCDO	GSR_GMF_VALOR_TOTAL_MRCDO	CODIGO_ENIG	FACTOR_EXPANSION_EC_E1
18341	01	145	1	1	1	14	1	98	80000	183410100	406.642954386424
18347	01	145	1	1	1	14	1	98	80000	183470100	777.180286864024
18350	01	145	1	1	1	14	1	97	65000	183500100	649.608116443317
18350	01	145	2	1	2	14	1	98	56000	183500100	649.608116443317
18505	01	145	1	1	1	14	1	95	28500	185050100	1446.86638062351
18550	01	145	1	1	1	14	1	97	180000	185500100	795.842810746225
18690	01	145	1	1	1	14	1	98	40000	186900100	287.333149663067
18757	01	145	1	1	1	14	1	96	30000	187570100	241.645705033156
18780	01	145	1	1	1	14	1	98	45000	187800100	611.307951086687
18782	01	145	1	1	1	14	1	98	41500	187820100	526.827499517546
18789	01	145	1	1	1	14	1	96	30000	187890100	1263.63820384201
18835	01	145	1	1	1	14	1	98	150000	188350100	1223.15874097823
18877	01	145	1	1	1	14	1	95	35000	188770100	1685.5194962756
18886	01	145	1	1	1	14	1	95	85900	188860100	1200.07714222923
18887	01	145	1	1	1	14	1	95	30000	188870100	1205.12100302448
18887	01	145	3	1	3	14	1	97	5000	188870100	1205.12100302448
18887	01	145	4	1	4	14	1	98	36000	188870100	1205.12100302448
21384	01	145	2	1	2	14	1	96	14000	213840100	
02704	01	145	1	1	1	14	1	96	15000	027040100	1679.41858845238
02704	01	145	2	1	2	14	1	97	50000	027040100	1679.41858845238
02705	01	145	1	1	1	14	1	96	25000	027050100	1329.75596466372
02706	01	145	1	1	1	14	1	97	50000	027060100	1549.44440156892
02707	01	145	1	1	1	14	1	98	55000	027070100	1464.19575196458
02732	01	145	3	1	3	14	1	97	29800	027320100	218.34588404541
02732	01	145	4	1	4	14	1	98	56800	027320100	218.34588404541
02737	01	145	1	1	1	14	1	95	25000	027370100	209.817642482885
02737	01	145	3	1	3	14	1	97	47000	027370100	209.817642482885
02737	01	145	4	1	4	14	1	98	87000	027370100	209.817642482885
02739	01	145	1	1	1	14	1	98	220000	027390100	322.800093744715
02744	01	145	4	1	4	14	1	98	90000	027440100	209.553081318163
05161	01	145	1	1	1	14	1	98	70000	051610100	998.346922148976
05213	01	145	1	1	1	14	1	98	65000	052130100	1038.7274149007
05223	01	145	1	1	1	14	1	98	45000	052230100	813.693140871663
05227	01	145	1	1	1	14	1	98	200000	052270100	778.223391857412
05229	01	145	1	1	1	14	1	98	80000	052290100	1036.78272680359
05230	01	145	1	1	1	14	1	98	65000	052300100	666.40146404134
05231	02	145	3	2	2	14	2	96	5000	052310200	740.799096160746
26327	01	145	4	1	4	14	1	98	20000	263270100	667.794125828023
26422	01	145	1	1	1	14	1	95	50000	264220100	292.924894777288
26422	01	145	2	1	2	14	1	96	20000	264220100	292.924894777288
26422	01	145	3	1	3	14	1	97	40000	264220100	292.924894777288
26432	01	145	2	1	2	14	1	97	150000	264320100	1741.5801061176
26470	01	145	1	1	1	14	1	98	40000	264700100	251.846654718083
26474	01	145	1	1	1	14	1	97	70000	264740100	329.156235518122
26489	01	145	1	1	1	14	1	98	50000	264890100	319.602050523659
26506	01	145	1	1	1	14	1	95	25000	265060100	350.573248531913
26506	01	145	2	1	2	14	1	96	6000	265060100	350.573248531913
26537	01	145	1	1	1	14	1	95	45000	265370100	901.808210059645
26537	01	145	2	1	2	14	1	96	25000	265370100	901.808210059645
26538	01	145	1	1	1	14	1	95	80000	265380100	1112.64282715487
26538	01	145	3	1	3	14	1	97	150000	265380100	1112.64282715487
26539	01	145	1	1	1	14	1	95	1000	265390100	836.537845342234
26578	01	145	2	1	2	14	1	96	10000	265780100	327.068897180722
26579	01	145	1	1	1	14	1	95	16000	265790100	764.748974581621
21417	01	145	1	1	1	14	1	98	80000	214170100	378.921085521461
21478	01	145	1	1	1	14	1	98	15000	214780100	503.814923135332
21479	01	145	1	1	1	14	1	95	10000	214790100	350.700641095233
21512	01	145	1	1	1	14	1	98	50000	215120100	558.341413339811
22106	01	145	1	1	1	14	1	97	120000	221060100	1335.47145115569
22111	01	145	1	1	1	14	1	96	50000	221110100	1399.1626396799
22248	01	145	1	1	1	14	1	97	20000	222480100	304.386011007338
22249	01	145	1	1	1	14	1	95	35000	222490100	358.853316862187
22253	01	145	3	1	3	14	1	96	3000	222530100	488.134705181777
22254	01	145	1	1	1	14	1	95	15000	222540100	704.618846771647
22255	01	145	1	1	1	14	1	95	10000	222550100	623.833529910833
22300	01	145	1	1	1	14	1	95	25000	223000100	1086.98331599677
22319	01	145	1	1	1	14	1	97	100000	223190100	511.050653327404
22329	01	145	1	1	1	14	1	97	100000	223290100	659.865002893997
22334	01	145	1	1	1	14	1	98	40000	223340100	594.334580689768
05234	01	145	1	1	1	14	1	98	60000	052340100	1087.32414549448
05235	01	145	1	1	1	14	1	98	70000	052350100	945.08446860709
05236	01	145	1	1	1	14	1	98	50000	052360100	702.363291506131
05869	01	145	1	1	1	14	1	97	50000	058690100	
05872	01	145	1	1	1	14	1	98	270000	058720100	
05961	01	145	1	1	1	14	1	95	30000	059610100	441.933993249331
05961	01	145	2	1	2	14	1	97	20000	059610100	441.933993249331
05961	01	145	3	1	3	14	1	98	100000	059610100	441.933993249331
05965	01	145	1	1	1	14	1	98	85000	059650100	491.874358052525
07399	01	145	1	1	1	14	1	97	130000	073990100	380.351629447852
07400	01	145	1	1	1	14	1	97	300000	074000100	702.236560537685
07401	01	145	1	1	1	14	1	97	320000	074010100	674.847461682581
10474	01	145	1	1	1	14	1	98	25000	104740100	557.537793998758
10476	01	145	1	1	1	14	1	98	45000	104760100	611.784332783694
10477	01	145	1	1	1	14	1	98	80000	104770100	320.271444298539
10482	01	145	1	1	1	14	1	98	26000	104820100	509.670117126641
10484	01	145	2	1	2	14	1	96	5000	104840100	434.582611772445
10485	01	145	1	1	1	14	1	98	45000	104850100	291.76038343576
10486	01	145	1	1	1	14	1	95	12500	104860100	642.946867063426
26579	01	145	3	1	3	14	1	97	77700	265790100	764.748974581621
26580	01	145	2	1	2	14	1	96	13500	265800100	586.079308344249
26580	01	145	3	1	3	14	1	97	91600	265800100	586.079308344249
26581	01	145	2	1	2	14	1	96	5000	265810100	957.830816820197
26584	01	145	1	1	1	14	1	98	125000	265840100	435.6001225921
29277	01	145	1	1	1	14	1	95	15000	292770100	903.752898156753
29277	01	145	2	1	2	14	1	96	4000	292770100	903.752898156753
29615	01	145	3	1	3	14	1	97	200000	296150100	1358.91644334452
29676	01	145	1	1	1	14	1	98	280000	296760100	789.241014116437
29677	01	145	1	1	1	14	1	98	700000	296770100	1313.83731378335
29678	01	145	1	1	1	14	1	98	160000	296780100	1313.83731378335
32654	01	145	1	1	1	14	1	98	50000	326540100	1163.51711635805
32656	01	145	1	1	1	14	1	98	270000	326560100	1958.46804510596
33426	01	145	3	1	3	14	1	97	8000	334260100	565.966867516877
33509	01	145	2	1	2	14	1	97	18000	335090100	574.987546092684
33512	01	145	1	1	1	14	1	95	20000	335120100	533.27130196306
33594	01	145	1	1	1	14	1	98	300000	335940100	368.451552988474
33614	01	145	1	1	1	14	1	97	100000	336140100	210.70118469648
33615	01	145	1	1	1	14	1	98	180000	336150100	256.065650225256
33695	01	145	1	1	1	14	1	95	10000	336950100	874.953240722405
33695	01	145	3	1	3	14	1	97	50000	336950100	874.953240722405
33754	01	145	1	1	1	14	1	98	700000	337540100	270.843485828499
36961	01	145	1	1	1	14	1	97	150000	369610100	1554.69863527938
36963	01	145	1	1	1	14	1	96	40000	369630100	1564.36205571667
36963	01	145	2	1	2	14	1	97	60000	369630100	1564.36205571667
36964	01	145	1	1	1	14	1	97	150000	369640100	1494.87398201767
37535	01	145	1	1	1	14	1	98	180000	375350100	1192.82742282477
37536	01	145	1	1	1	14	1	98	180000	375360100	1732.77323215582
37544	01	145	1	1	1	14	1	98	400000	375440100	
37601	01	145	1	1	1	14	1	98	130000	376010100	917.179020933587
37604	01	145	1	1	1	14	1	98	1800	376040100	428.769435376696
37606	01	145	1	1	1	14	1	98	80000	376060100	617.394443296484
37608	01	145	1	1	1	14	1	98	120000	376080100	322.550612964722
37609	01	145	1	1	1	14	1	98	40000	376090100	560.426402552384
37610	01	145	1	1	1	14	1	98	35000	376100100	447.560153229023
37623	01	145	2	1	2	14	1	96	20000	376230100	1459.10675579166
37623	01	145	3	1	3	14	1	97	50000	376230100	1459.10675579166
22339	01	145	1	1	1	14	1	98	110000	223390100	811.867530150413
22437	01	145	1	1	1	14	1	97	100000	224370100	218.952660137751
22476	01	145	2	1	2	14	1	96	30000	224760100	303.358359266573
22476	01	145	4	1	4	14	1	98	141500	224760100	303.358359266573
22477	01	145	1	1	1	14	1	95	46200	224770100	242.732611432768
22477	01	145	2	1	2	14	1	96	39000	224770100	242.732611432768
22477	01	145	3	1	3	14	1	97	140500	224770100	242.732611432768
22479	01	145	2	1	2	14	1	96	30000	224790100	204.17412826935
22479	01	145	3	1	3	14	1	97	206600	224790100	204.17412826935
22479	01	145	4	1	4	14	1	98	271600	224790100	204.17412826935
22480	01	145	1	1	1	14	1	96	76000	224800100	215.769363441081
22483	01	145	3	1	3	14	1	97	292200	224830100	339.658138211664
22483	01	145	4	1	4	14	1	98	442200	224830100	339.658138211664
22484	01	145	3	1	3	14	1	97	185600	224840100	250.703068925125
22486	01	145	1	1	1	14	1	96	36000	224860100	276.144903361912
10682	01	145	1	1	1	14	1	98	45000	106820100	867.461430432732
10683	01	145	1	1	1	14	1	98	130000	106830100	1112.64282715487
10685	01	145	2	1	2	14	1	97	1000	106850100	778.999738611305
10691	01	145	1	1	1	14	1	98	320000	106910100	523.32631087554
11087	01	145	1	1	1	14	1	97	55000	110870100	146.755270636743
11140	01	145	1	1	1	14	1	98	1000	111400100	246.633945058133
11348	01	145	1	1	1	14	1	98	250000	113480100	725.515880434005
15070	01	145	1	1	1	14	1	98	250000	150700100	1371.38013249668
15071	01	145	1	1	1	14	1	98	80000	150710100	2111.02787899681
15074	01	145	1	1	1	14	1	95	35000	150740100	1900.92522639264
15075	01	145	1	1	1	14	1	95	18000	150750100	944.396044740279
15075	01	145	2	1	2	14	1	96	3000	150750100	944.396044740279
15075	01	145	3	1	3	14	1	97	28000	150750100	944.396044740279
15076	01	145	1	1	1	14	1	98	120000	150760100	1217.34459357064
15077	01	145	1	1	1	14	1	98	250000	150770100	1413.79277406027
15234	01	145	1	1	1	14	1	97	3500	152340100	296.243477397937
15288	01	145	1	1	1	14	1	97	120000	152880100	266.941788671711
15309	01	145	1	1	1	14	1	98	50000	153090100	1598.45966272483
15310	01	145	1	1	1	14	1	98	65000	153100100	1622.72861175814
15311	01	145	1	1	1	14	1	98	150000	153110100	834.006525988177
15312	01	145	1	1	1	14	1	98	48000	153120100	1429.6770220043
15313	01	145	1	1	1	14	1	98	45000	153130100	1638.9391255886
15314	01	145	1	1	1	14	1	98	40000	153140100	1529.72025405785
15391	01	145	1	1	1	14	1	95	60000	153910100	813.904775308559
15396	01	145	1	1	1	14	1	95	37500	153960100	695.734867438372
15396	01	145	2	1	2	14	1	96	7000	153960100	695.734867438372
37627	01	145	1	1	1	14	1	97	50000	376270100	1433.13717498952
37629	01	145	1	1	1	14	1	97	120000	376290100	1515.64493503079
37694	01	145	1	1	1	14	1	97	150000	376940100	1283.98303524566
41049	01	145	1	1	1	14	1	95	50000	410490100	308.511112494478
41049	01	145	2	1	2	14	1	96	20000	410490100	308.511112494478
41049	01	145	3	1	3	14	1	97	60000	410490100	308.511112494478
41416	01	145	1	1	1	14	1	98	180000	414160100	839.599490146729
41443	01	145	1	1	1	14	1	98	191600	414430100	317.908383207014
41444	01	145	1	1	1	14	1	98	90000	414440100	878.199422803243
41525	01	145	1	1	1	14	1	95	31900	415250100	252.213507706375
41525	01	145	2	1	2	14	1	96	20000	415250100	252.213507706375
41525	01	145	3	1	3	14	1	97	65000	415250100	252.213507706375
41525	01	145	4	1	4	14	1	98	1000	415250100	252.213507706375
41541	01	145	1	1	1	14	1	97	170000	415410100	653.349149096916
26421	01	145	1	1	1	14	1	98	150000	264210100	444.030769661423
22486	01	145	3	1	3	14	1	95	14000	224860100	276.144903361912
22487	01	145	1	1	1	14	1	95	17500	224870100	226.629291892835
22487	01	145	2	1	2	14	1	96	27000	224870100	226.629291892835
22487	01	145	3	1	3	14	1	97	136100	224870100	226.629291892835
22487	01	145	4	1	4	14	1	98	180600	224870100	226.629291892835
22488	01	145	1	1	1	14	1	95	38000	224880100	218.34588404541
22488	01	145	2	1	2	14	1	96	26000	224880100	218.34588404541
22488	01	145	3	1	3	14	1	97	133600	224880100	218.34588404541
22488	01	145	4	1	4	14	1	98	197600	224880100	218.34588404541
22516	01	145	1	1	1	14	1	98	330000	225160100	315.276154434713
22517	01	145	1	1	1	14	1	98	140000	225170100	241.645705033156
22520	01	145	1	1	1	14	1	95	10000	225200100	623.833529910833
26317	01	145	1	1	1	14	1	97	80000	263170100	693.147142235981
26318	01	145	1	1	1	14	1	97	80000	263180100	793.74477361229
26319	01	145	1	1	1	14	1	97	100000	263190100	340.374378388674
26321	01	145	1	1	1	14	1	97	80000	263210100	764.936912534719
26323	01	145	1	1	1	14	1	97	150000	263230100	820.327575623274
26324	01	145	1	1	1	14	1	97	200000	263240100	1050.54380862619
26327	01	145	1	1	1	14	1	95	15000	263270100	667.794125828023
26327	01	145	2	1	2	14	1	96	6000	263270100	667.794125828023
26327	01	145	3	1	3	14	1	97	20000	263270100	667.794125828023
15396	01	145	3	1	3	14	1	97	2000	153960100	695.734867438372
15396	01	145	4	1	4	14	1	98	39000	153960100	695.734867438372
15398	01	145	1	1	1	14	1	95	15000	153980100	903.837138062474
15398	01	145	2	1	2	14	1	96	5000	153980100	903.837138062474
15398	01	145	3	1	3	14	1	97	4000	153980100	903.837138062474
15398	01	145	4	1	4	14	1	98	22000	153980100	903.837138062474
15398	02	145	5	2	1	14	2	95	36000	153980200	903.837138062474
15398	02	145	6	2	2	14	2	96	29300	153980200	903.837138062474
15398	02	145	7	2	3	14	2	97	36000	153980200	903.837138062474
15398	02	145	8	2	4	14	2	98	95000	153980200	903.837138062474
15421	01	145	1	1	1	14	1	95	20000	154210100	519.058395437617
15421	01	145	2	1	2	14	1	96	30000	154210100	519.058395437617
15421	01	145	3	1	3	14	1	97	30000	154210100	519.058395437617
18285	01	145	1	1	1	14	1	95	20000	182850100	343.258101984485
18285	01	145	2	1	2	14	1	97	20000	182850100	343.258101984485
18285	01	145	3	1	3	14	1	98	10000	182850100	343.258101984485
18336	02	145	2	2	1	14	2	98	120000	183360200	633.861909956852
18505	01	145	2	1	2	14	1	96	3000	185050100	1446.86638062351
18757	01	145	2	1	2	14	1	97	226800	187570100	241.645705033156
18792	01	145	1	1	1	14	1	97	75000	187920100	165.258204640828
